	input
1765	Umunyamabanga wa Leta muri Minisitiri y’ Uburezi ushinzwe amashuri abanza n’ ayisumbuye akaba n’ imboni y’ akarere ka Gisagara yavuze ko abaturage baretse gutanga ruswa yacika burundu.
1766	None kuwa Mbere, tariki ya 24 Kamena 2019, Inama y’Abaminisitiri idasanzwe yateraniye muri Village Urugwiro, iyobowe na Nyakubahwa Perezida wa Repubulika, Paul KAGAME.
1767	Perezida Kagame yavuze ko Faustin Twagiramungu na Paul Rusesabagina ari abantu batizwa umurindi n’ itangazamakuru gusa.
1768	Nyirabahutu yari atuye mu kagari ka Raranzige umurenge wa Rusenge mu karere ka Nyaruguru.
1769	Abayobozi b’ Intara z’ u Rwanda havuyemo uw’ Intara y’ Amajyepfo bose batorewe kuyobora FPR ku rwego rw’ Intara.
1770	Perezida w’ u Rwanda Paul Kagame avuga ko ibyo u Rwanda rumaze kugeraho nyuma ya Jenoside yakorewe Abatutsi, byaturutse ku bushake no kwishyira hamwe kw’Abanyarwanda.
1771	Mu mpera z’ ukwezi kwa kabiri uyu mwaka nibwo CG Emmanuel Gasana yatangaje ko agiye kwimurira ibiro bye mu karere ka Nyamagabe.
1772	Guverineri w’ Intara y’ Amajyepfo CG Emmanuel Gasana yasabye abayobozi gushyirahamwe bagahuza imbaraga kuko aribyo bizabafasha kurangiza inshingano zabo.
1773	Perezida w’ u Rwanda Paul Kagame kuri uyu wa Mbere yasuye mugenzi we wa Gabon Ali Bongo Ondimba, bagirana ibiganiro bigamije guteza imbere umubano w’ ibihugu byombi.
1774	Itangazo ryashyizwe ahagaragara n’ Ikigo cy’Igihugu cy’Imisoro n’Amahoro RRA rivuga ko imodoka nini zemerewe kongera gukoresha umupaka wa Gatuna mu gihe cy’ ibyumweru bibiri.
1775	Abaturage bo mu murenge wa Nyamabuye akarere ka Muhanga buri wese uko yifite bakusanyije amafaranga bigurira imodoka yo kubafasha gucunga umutekano no kubungabunga isuku.
1776	Ibi birori byabereye muri Sitade Amahoro I Remera byitabiriwe n’ abanyacyubahiro baturutse mu bihugu bitandukanye barimo abaperezida barindi.
1777	Ibi yabitangaje kuri uyu wa 3 Nyakanga 2019, ubwo yatahaga ku mugaragaro umudugudu w’ Ikitegererezo wa Karama mu karere ka Nyarugenge watujwemo imiryango 240.
1778	Magingo aya itegeko nshinga riha Perezida Kagame uburenganzira bwo kwiyamamariza kuyobora u Rwanda kugeza muri 2034.
1779	BBC dukesha iyi nkuru ivuga ko imijyi n’ibice byegereye umupaka w’u Rwanda na Uganda byahungabanyijwe n’ibi byemezo, nk’uko iyo miryango itegamiye kuri Leta yaranze ikirego ibivuga.
1780	Yabitangaje kuri uyu wa Gatanu tariki 28 Kamena 2019, ubwo yari ku Mulindi w’Intwari mu karere ka ahabereye gahunda y’ Ihuriro ry’Igihango cy’Urungano.
1781	Abaturage b’ aka karere baganiriye n’ Ikinyamakuru UKWEZI bavuga ko bafite icyizere ko akarere kabo katazongera kuba akanyuma.
1782	Kugira ngo ibi bigerweho birasaba ko mu myaka itanu uhereye kuri uyu wa 2019 u Rwanda rugomba kubona amashanyarazi mashya angana n’ ayo rufite uyu munsi.
1783	Umuyobozi w’ Akarere ka Gasabo Stephen Rwamurangwa yavuze ko ibikorwa byakozwe n’ urubyiruko rusoje urugerero ruciye ingando mu mujyi wa Kigali bifite agaciro ka miliyoni 100.
1784	Umuhango wo gufungura kumugaragaro iyi ambasade yitabiriwe na Minisitiri w’ Ububanyi n’ Amahanga w’ u Rwanda Dr Richard Sezibera.
1785	Yavutse tariki ya 8 Werurwe 1937 mu Gasiza mu Bushiru Gisenyi.
1786	Ingano y’umushahara mushya wa Perezida, Abaminisitiri, Abadepite, Abasenateri, Guverineri.
1787	Iyo nama y’ intego z’ iterambere rirambye iri kubera mu Rwanda kuva tariki 12 Kamena 2019, izasozwa ku munsi w’ ejo tariki 14 Kamena.
1788	Barasaba ko iyi ngingo yakwigwaho n’ Urukiko rw’ ikirenga Hagendewe ku itegeko nshinga ryo muri 2003 ritaravugururwa muri 2015, abasenateri bari bemerewe manda imwe y’ imyaka 8 idashobora kongerwa.
1789	Perezida w’ u Rwanda Paul Kagame yagaragaje ko guhemba abapolisi udufaranga duke bigira ingaruka bityo ngo igihugu gikwiye gusanganya duke gifite ku buryo n’ umupolisi yumva ko yitaweho.
1790	Stroke ni indwara y’ubwonko iterwa n’uko amaraso ajya mu bwonko ahagaze kugenda cyangwa agize impamvu iyabuza kugenda nk’ibisanzwe.
1791	Kuri uyu wa 9 Kamena 2019, nibwo Denise Tshisekedi yatangiye uruzinduko mu Rwanda akaba yinjiriye ku mupaka wa Rubavu aho yakiriwe na Meya wa Rubavu Habyalimana Gilbert.
1792	com witwa Gatera, yatwandikiye inyandiko igaragaza igitekerezo cye ndetse n’uko afata inkuru na raporo zishinja u Rwanda gutoza abasirikare bagamije gutera u Burundi bagahirika ubutegetsi bwa Perezida Pierre Nkurunziza.
1793	Janvier Busogi, ni umuhungu wa Nyagasaza Mathias, umwe mu baherwe bari bakomeye ku Gisenyi mbere ya Jenoside yakorewe abatutsi.
1794	Mu gihe cy’imyaka ikabakaba 56, hari bamwe mu bakuru b’ibihugu bagiye bamara igihe runaka nta Minisitiri w’Intebe bafite, ibi byose tukaba ari byo tugarukaho muri iyi nkuru.
1795	com cyabakusanyirije ibijyanye n’uko aba baperezida bakurikiranye, uko bagiye bafata ubutegetsi, igihe bagiye babumaraho n’uko batanu ba mbere muri aba batandatu bagiye babuvaho.
1796	Inama y’Abaminisitiri yemeje imyanzuro y’Inama y’Abaminisitiri yo kuwa 27 Mata 2016, imaze kuyikorera ubugororangingo.
1797	Ku bijyanye n’imibare y’ikigereranyo cy’ingengo y’imari ya 2016-2017, Minisitiri Jean Philbert Nsengimana, yagaragaje ko mu mafaranga y’u Rwanda agera kuri 488.
1798	Minisitiri Mukantabana kandi, avuga ko ibi atari umwihariko ku barundi, ahubwo ngo ni igikorwa cyakorewe abanyamahanga bose badafite ibyangombwa.
1799	Shyaka Anastase umuyobozi wa kimwe mu bigo bya Leta.
1800	Muri Werurwe 2015, ubwo Perezida Kagame yaganiraga na Jeune Afrique, yari yatangaje ko n’ubundi icyemezo yaramuka afashe abanyamahanga n’abarwanya ubutegetsi bw’u Rwanda batazigera babura ibyo bavuga.
1801	Hari abantu benshi b’ingeri zose, muri aba hakaba hari harimo n’abayobozi batandukanye bazindutse berekeza mu mujyi wa Kigali nk’ibisanzwe bakaza gusanga umuhanda utakiri nyabagendwa.
1802	Yavutse tariki ya 8 Werurwe 1937 mu Gasiza mu Bushiru Gisenyi.
1803	N’ubwo atakiyobora urwego rw’imfungwa n’abagororwa kugeza ubu, n’ubundi akorera Leta y’u Rwanda kuko anasanzwe ari muri Komisiyo ishinzwe gusezerera no gusubiza mu buzima busanzwe ingabo zavuye ku rugerero.
1804	Abamwunganira mu butabera baravuga ko ubushinjacyaha bwatubuye ibyaha bya jenoside n’ibyibasiye inyokomuntu bukabigira bitanu, kandi icyaha cya Jenoside gikwiye kwita icyaha kimwe ntigituburwe ngo bibe ibyaha bya jenoside.
1805	Ishyaka rya Democratic Green Party, rinasanga umwami Kigeli akwiye kuyobora ibijyanye n’umuco nyarwanda mu gihugu, akanaba umujyanama w’umukuru w’igihugu.
1806	Nk’uko Ange Kagame yabigaragaje ku rubuga rwa twitter, Brian Kagame yahawe impamyabumenyi y’amashuri yisumbuye kuri iki Cyumweru tariki 29 Gicurasi 2016.
1807	Ubwiwe amateka y’u Rwanda akabona n’aho ruri ubu ararutangarira, bikaba ari nako byagenze kuri aba banyeshuri bo muri Leta Zunze Ubumwe za Amerika bakiriwe na Perezida Kagame.
1808	Muri Mutarama uyu mwaka, nibwo Gervais Ngombwa yafashwe, atangira gukurikiranwa n’ubutabera bwamushinjaga gusaba ubwenegihugu akoresheje ibinyoma n’amanyanga yo kwisanisha na Twagiramungu Faustin.
1809	Captain Mbaye Diagne, bivugwa ko yabashije kurokora abanyarwanda bari hagati ya 600 n’1.
1810	Muri iyi nkuru, turabagezaho ibibazo 5 byabajijwe Perezida Kagame nyuma y’inama mpuzamahanga ku bukungu yaberaga i Kigali.
1811	Mu minsi ishize, mu Rwanda hari harimo kubera inama ya World Economic Forum.
1812	Icyangombwa ni uko Abarundi bafata ibibazo bafite nk’ibyabo aho gutekereza ko hari ahandi biva.
1813	Ibi byagiye bituma umubano hagati y’u Rwanda na Espagne umera nabi, ariko ubu umubano urazira amakemwa.
1814	Hanenzwe kandi ibigo nka REB, icyahoze ari EWSA, Kaminuza y’u Rwanda n’amashuri ayishamikiyeho n’ibindi.
1815	PhotoInternet Hari benshi mu banyarwanda bifuza kumenya ibijyanye n’imishahara y’abantu bari mu nzego runaka z’abakozi, ibi Ikinyamakuru cyanyu Ukwezi.
1816	Umugabo wo mu karere ka Gisagara, Umurenge wa Muganza mu kagari ka Muganza umudugudu wa Rwinkuba yatawe muri yombi nyuma yo gutema amatungo y’urugo rwe arimo inka n’ihene.
1817	Umusore wo mu murenge wa Nyakariro mu karere ka Rwamagana, yatawe muri yombi akurikiranweho kwica umwana w’imyaka 10 w’umuturanyi we, bikaba bivugwa ko bamufashe yamuciye umutwe akamwotsa akamuryamo burusheti.
1818	Byabaye ku mugoroba wo kuri uyu wa Gatanu tariki 1 Gicurasi 2020 bibera mu rugo rwa Sebarabona.
1819	Kuva ku wa Mbere w’iki cyumweru abagabo batatu bo mu turere dutandukanywe tw’Intara y’Iburengerazuba bamaze gutabwa muri yombi umwe akurikiranyweho icyaha cyo gufata ku ngufu babiri bakurikiranyweho gusambana abana.
1820	Itegeko riteganya ko umuntu ufashwe acuruza nyirantare ahanishwa igifungo gishobora kugera ku myaka irindwi.
1821	Ibi byabaye mu ijoro ryo kuri uyu wa Gatatu tariki ya 22 Mata saa 245 z’ijoro.
1822	Umunyamabanga Nshingwabikorwa w’Akagari ka Gikombe mu murenge wa Rubavu mu karere ka Rubavu yafashwe yakira ruswa akekwaho ko yari yatse umuturage wubakaga urupangu nta bya ngombwa byo kubaka.
1823	Polisi y’u Rwanda kuri uyu wa 24 Mata 2020 yeretse itangazamakuru abantu barenga 40 bafatiwe mu bice bitandukanye by’umujyi wa Kigali bakekwaho kunyuranya n’amabwiriza yo kwirinda covid-19.
1824	Nsabimana yabwiye UKWEZI ko iki kibazo cyatangiye ku wa Mbere w’iki cyumweru saa kumi n’ebyiri z’umugoroba.
1825	Murenge wa Kinazi, Akagari ka Gisali, Umudugudu wa Kakirenzi, imvura yaraye igwa yatumye inkuta z’iteme rya Mukunguri ryari ririmo gusanwa zongera kugwa.
1826	Abaturiye ikiyaga cya Kadahokwa kiri hagati y’umurenge wa Gishamvu n’umurenge wa Huye barasaba ko iki kiyaga cyazitirwa mu rwego rwo kwirinda ko cyakomeza kubatwara abantu.
1827	Umuvugizi wa Polisi y’u Rwanda CP John Bosco yasabye abaturarwanda ko muri ibi bihe bidasanzwe byo kwirinda covid-19 baba baretse imyumvire ivuga ko inzoga iryoha isangiwe.
1828	Ikigo cy’ igihugu cy’iteganyagihe Meteo Rwanda cyatangaje ko mu minsi itatu ikurikiranye uhereye tariki 17 kugera kuri 20 hazagwa imvura nyinshi kandi irimo n’ umuyqga.
1829	Urwego rw’Igihugu rw’Ubugenzacyaha RIB rwongeye kwibutsa abaturarwanda ko gukubita no gukomeretsa ari icyaha gihanwa n’ingingo y’ 121 y’itegeko N682018 ryo ku wa 30082018 riteganya ibyaha n’ibihano muri rusange.
1830	Umusore w’imyaka 25 wo mu murenge wa Kanzenze mu karere ka Rubavu arashakishwa n’inzego z’umutekano akekwaho gusambanya umukobwa w’imyaka 17 wiga mu mashuri y’uburezi bw’ibanze bw’imyaka 9.
1831	Mu gihe Abanyarwanda bibuka ku nshuro ya 26 Jenoside yakorewe abatutsi, urwego rw’igihugu rw’ubugenzacyaha RIB ruravuga ko rumaze kwakira ibirego 30.
1832	Imfungwa 61 zarekuwe ziravuga ko zigiye gufatanya n’abo zisanze hanze gukomeza kubahiriza amabwiriza yo kwirinda coronavirus.
1833	Mu murenge wa Mudende mu karere ka Rubavu abantu batamenyekana nijoro ku cyumweru tariki 3 Gicurasi 2020 baziritse umukobwa ku giti yambaye ubusa abonwa n’abagenzi ahita ajyanwa kwa muganga.
1834	Minisiteri y’Ubutabazi mu Rwanda yatangaje ko imvura idasanzwe yaguye mu Rwanda tariki 1 n’iya 2 Gicurasi yahitanye abantu 8, ikomeretsa 5 inangiza ibikorwaremezo byinshi mu bice bitandukanye by’igihugu.
1835	Mu kwezi kwa 12 umwaka wa 2018 mu mwiherero w’abayobozi bakuru b’u Rwanda nibwo Perezida Kagame yatangije ubu bwizigame bw’igihe kirere bwiswe Ejo Heza.
1836	Itangazo ryashyizwe hanze n’Ibiro bya Minisitiri w’Intebe rivuga ko General Nyamvumba yakuwe ku mirimo kugirango akorweho iperereza ku byo akekwaho.
1837	Perezida w’u Rwanda Paul Kagame akaba n’ Umugaba w’ikirenga w’ingabo z’u Rwanda yakoze impinduka mu buyobozi burimo ubw’ibitaro bya gisirikare n’ishuri rya gisirikare.
1838	Urwego rw’Igihugu rw’Ubugenzacyaha RIB rwatangaje ko umuntu urenze ku mabwiriza yo kwirinda covid-19 aba akoze icyaha cyo kwigomeka ku buyobozi giteganywa n’ingingo ya 230 mu gitabo cy’ibyaha n’ibihano.
1839	Tariki 22 nibwo umwana wabo muto yitabye Imana, hanyuma nyina yitaba Imana tariki 23.
1840	Abanyarwanda batatu barimo umugabo wa Rose Mary Museminali, John Museminali batawe muri yombi bakekwaho gushaka gutorokesha Col.
1841	Umuvugizi wa Polisi y’ u Rwanda CP John Bosco Kabera yabwiye RBA ko abapasiteri bavuga ko basengera coronavirus igakira babeshya, asaba Abamyarwanda kudaha agaciro bene ubu butumwa.
1842	Iyi mvura kandi imaze gukomeretsa abantu barenga 25 barimo 18 bakomeretse ku mugoroba w’ejo.
1843	Polisi y’ u Rwanda isaba abaturawanda kwirinda amakimbirane, kwirinda ingendo za hato na hato muri ibi bihe byo kurwanya covid-19, no kwirinda ihohoterwa iryo ariryo ryose.
1844	Ngo yaje no kohereza ubundi butumwa umwakirizi w’imisoro ku murenge, avuga ngo Umva uwitwa umututsi ntakwiye kuba mu gihugu.
1845	Nyiramporampoze Chantal warokotse Jenoside yakorewe abatutsi mu karere ka Ruhango mu murenge wa Ruhango amaze kwangirizwa imyaka inshuro muri ibi bihe byo kwibuka Jenoside yakorewe abatutsi.
1846	Abaye umunyamakuru wa karindwi utawe muri yombi mu gihe kitageze ku kwezi kumwe.
1847	Minisiteri y’Ubutabera yatangaje ko mu Rwanda hari abarwayi ba coronavirus batatu cyangwa bane bakurikiranyweho icyaha cyo kwanga gutanga amakuru y’abo bahuye nabo ngo nabo bakurikiranwe bavurwe.
1848	Muri Werurwe 2016, Urukiko rukuru rwa gisirikare rwakatiye igifungo cy’imyaka 21 Colonel Tom Byabagamba no kwamburwa amapeti ya gisirikare.
1849	Avuga ko bigitangira abanyeshuri n’abandi bantu b’urubyiruko batahise bumva neza gahunda ya gumamurugo’.
1850	Urwego rw’igihugu rw’ubugenzacyaha RIB rwatangaje ko kuri uyu 8 Mata 2020 rwataye muri yombi abantu batandatu bahuriye mu itsinda ryiyise ABAHUJUMUTIMA barimo abanyamakuru babiri ba Afrimax tv.
1851	Mu gihe Abanyarwanda bakomeje gusabwa kubahiriza amabwiriza yo kwirinda ikwirakwizwa ry’icyorezo cya Coronavirus, Polisi y’u Rwanda yafashe Apotre Mukabadege Liliane nyuma y’uko yari yabeshye abapolisi ko agiye kuri Radiyo.
1852	Mu butumwa RIB yashyize kuri twitter yavuze ko aba bayobozi ubu bafungiwe kuri Post ya RIB ya Ndera mu gihe iperereza rikomeje kugira ngo hakorwe dosiye ishyikirizwe Ubushinjacyaha.
1853	Abantu bemerewe kuva mu rugo barimo abagiye guhaha ibiribwa n’ibikoresho by’isuku, gucuruza ibiribwa n’ibikoresho by’isuku, abahinzi n’aborozi, abaganga, abashinzwe umutekano n’abanyamakuru.
1854	Ni nyuma y’uko abaturage ba Kangondo ahazwi nka Bannyahe Nyarutarama mu karere ka Gasabo mu mujyi wa Kigali batangaje ko hashize ibyumweru bibi haza abasirikare bambaye imyenda y’akazi, bakabakubita.
1855	Umusore wiga muri Kaminuza y’ u Rwanda ufite imyaka 29 akurikiranyweho icyaha cyo gusambanya abakobwa babiri barimo barimo uw’imyaka 15 n’uw’imyaka 20.
1856	Polisi y’u Rwanda yashyimiye abakwirakwije amashusho y’umugabo yakubiswe n’abantu bane, ivuga ko yamaze gufatamo babiri.
1857	Polisi y’u Rwanda yatangaje ko amakuru avuga ko abasore babiri barasiwe mu karere ka Nyanza bazize ko banyuranyije n’amabwiriza yo kwirinda coronavirus atari ukuri, ivuga ko bazize kurwanya polisi.
1858	Umuyobozi w’akarere ka Kamonyi, Kayitesi Alice, yahamirije ikinyamakuru Ukwezi iby’aya makuru.
1859	Uyu muturage avuga ko yanditse iyo baruwa nyuma y’aho ubuyobozi bumuranduriye imyaka bucamo umuhanda no gukomeza gutotezwa n’ubuyobozi bw’akagari yitwa igihazi.
1860	Urwego rw’ Igihugu rw’ Ubugenzacyaha RIB rwatangaje ko rwataye muri yombi umugabo wo mu karere ka Musanze wagaragaye muri video yakwirakwiye ku mbuga nkora avuga ko akiza coronavirus.
1861	Urwego rw’Ubugenzacyaha RIB rwataye muri yombi umugore witwa Mukanzamuye Apronaria ukekwaho gusambanya abana 2 b’abahungu mu murenge wa Murundi, Akarere ka Kayonza.
1862	Urwego rw’Ubugenzacyaha RIB mu karere ka Karongi mu Ntara y’Uburengerazuba, rwafashe uwitwa Nyiramfatahose Pelagie w’imyaka 25 y’amavuko, utuye mu murenge wa Bwishyura ukekwaho gusambanya umwana w’umuhungu w’imyaka 17.
1863	Polisi y’ u Rwanda yatangaje ko irakora iperereza ikamenya icyateye impanuka y’imodoka yayo yagonze umukindo ikabona kugira icyemezo ifata.
1864	Urwego rw’ Igihugu rw’ Ubugenzacyaha RIB rwatangaje ko rwataye muri yombi abayobozi b’umudugudu bakurikiranyweho guhishira uwakoze icyaha cyo gusambanya umwana mu murenge wa Cyanzarwe mu karere ka Rubavu.
1865	Babitangaje kuri uyu wa 6 Werurwe 2020 ubwo basurwaga n’abanyamakuru bari kumwe na Meya wa Huye Ange Sebutege ndetse n’ Umunyamabanga Nshingwabikorwa w’ Intara y’ Amajyepfo Jabo Paul.
1866	Imvura yaraye iguye mu karere ka Nyamagabe yateje umwuzure uhitana usanga mu buvumo abantu 11 barimo basenga 6 babasha kuvamo batanu baheramo.
1867	RIB irasaba Abaturarwanda ko muri iki gihe abantu bari gushishikarizwa kohererezanya amafaranga bakoresheje ikoranabuhanga mu rwego rwo kwirinda coronavirus, bakwiye kurushaho kugira amakenga.
1868	Kuri iki Cyumweru tariki 5 Mata 2020 abantu bane bakize coronavirus mu Rwanda basezewe mu kigo cya Kanyinya nyuma yo gukira coronavirus.
1869	Tariki 25 Werurwe 2020 nibwo uyu mugabo yakubiswe, amashusho ye akubitwa atangira gukwirakwizwa ku mbuga nkoranyambaga.
1870	Byabaye tariki ya 1 Mata 2020, mu karere ka Nyarugenge, mu Murenge wa Gitega, Akagali ka Gacyamo Umudugudu wa Kivumu.
1871	Abari muri kasho bazarekurwa ni abakurikiranyweho ibyaha bitabangamiye cyane imibereho y’igihugu.
1872	Mu karere ka Gicumbi mu majyaruguru y’u Rwanda hinjiye Abanyarwanda 342 bavuga ko birukanywe na Uganda bashinjwa gukwirakwiza coronavirus muri Uganda.
1873	Umunyamabanga Nshingwabikorwa w’umurenge wa Gisozi, Musasangohe Providence, yemereye ikinyamakuru Ukwezi iby’aya makuru, avuga ko ibi byabaye mu masaha ya saa saba z’amanywa.
1874	Byabereye ku mugezi wa Nyabarongo mu Mudugudu wa Rubumba, Akagari ka Ruyenzi, Umurenge wa Runda, mu karere ka Kamonyi.
1875	Polisi y’ u Rwanda yatangaje ko mu rwego rwo kwirinda ikwirikakwira ry’icyorezo cya coronavirus yahawe izina rya COVID-19 yahagaritse serivise ebyiri mu zo yatangaga.
1876	Nyuma y’ imvura nyinshi yaguye kuri uyu wa 18 Werurwe 2020 igateza umwuzure amazi ya Nyabarongo yafunze umuhanda Muhanga-Ngororero-Mukamira.
1877	Byabereye mu kagari ka Rwaza, Umudugudu wa Mushoko, ahagana saa cyenda n’igice z’igicamunsi kuri uyu wa Kabili tariki 17 Werurwe 2020.
1878	Ibi byaha bwakozwe tariki 18 Gashyantare, ndetse Zaina wayoboye ikorwa ry’iki cyaha yari inshuti na Sandrine wagikorewe baza gupfa umugabo.
1879	Umunyamakuru wa Radio na TV1 Angelibert Mutabaruka, abenshi bazi nka Angeli Mutabaruka yatangaje ko ubuzima bwe buri kaga kubera abantu atazi bakomeje kumwibasira ku mbuga nkoranyambaga bamutuka.
1880	Urwego rw’ igihugu rushinzwe imfungwa n’abagororwa rwamaganye amakuru yacicikanye ku mbuga nkoranyambaga avuga ko Dr Kayumba Christopher, umunyamakuru akaba n’umwarimu muri Kaminuza y’u Rwanda yapfiriye muri gereza.
1881	Birakekwa ko yiyahuye kubera amafaranga ibihumbi 280 umuryango we wariganyijwe n’uwo bakeka ko ari umutubuzi.
1882	Munyengabe Anastase w’ imyaka 25 mu kagari ka Bwera mu murenge wa Kirambi 2.
1883	Avuga ko bari bamugiriye inama ko yategereza kubera ko kuri bo igihe cyari kitaragera.
1884	Ubuyobozi bw’akarere ka Rubavu buvuga ko iki kibazo kirimo gukurikiranwa na komite ishinzwe imyitwarire y’abakozi ngo akaba ari yo izagaragaza uwagize imyitwarire mibi muri aba bombi.
1885	Abifuza kwinjira mu ngabo z’ u Rwanda mu rwego rw’abasirikare bato bagomba kuba bararangije amashuri atatu kugera kuri atandatu yisumbuye.
1886	Umusore usanzwe ari umupolisi uri mu kigero cy’imyaka 30 y’amavuko yapfuye urupfu rutunguranye, birakekwa ko yaba yazize indwara abandi bo mu nshuti ze bakavuga ko ashobora kuba yarozwe.
1887	Jeannette yavuze umubare w’amafaranga yambuwe, uko byagenze n’icyo yifuza ko cyakorerwa umugizi wa nabi uri mu maboko y’ ubutabera ukurikiranyweho kumukubita no kumwambura.
1888	Avuga ko nyuma yo gukora iyi nkuru ku muhango wo gushyingura Kizito Mihigo nta rwego rwa Leta rwigeze rumuhamagara kuko ngo ibyo yari yakoze nta kosa ririmo.
1889	Umuvugizi w’ Urwego rw’ Igihugu rw’ Ubugenzacyaha RIB, Marie Michelle Umuhoza yatangarije UKWEZI ko bariya bagabo babiri umwe ari Nkunzimana Jean Bosco undi akaba Ngayabahiga Joel.
1890	Ikamyo ifite ibirango Plaque byo murine Tanzania yagonze ibitaro bya Gisenyi ku gicamunsi cyo uyu wa Gatandatu tariki 15 Gashyantare 2020, ihitana abantu bane ikomeretsa 6.
